date,open,high,low,close,adj_close,volume
2025-06-02,451.34341086928345,451.7947542801527,449.9100524002465,450.36041281305955,450.36041281305955,1737484
2025-06-03,451.13337931493925,451.58451269425416,450.13180841993926,450.58239081075,450.58239081075,2628989
2025-06-04,449.35408044968267,450.96245463646693,448.904726369233,450.5119426937732,450.5119426937732,1579224
2025-06-05,452.4193727369934,452.87179210973034,450.1932330161825,450.64387689307557,450.64387689307557,1760505
2025-06-06,450.8156536005394,451.2664692541399,449.7226464989071,450.1728193182253,450.1728193182253,2334572
2025-06-09,451.08874805681916,452.0931183287704,450.63765930876235,451.6414768519185,451.6414768519185,2090505
2025-06-10,452.05949919389093,452.5115586930848,450.7968272305589,451.24807530586475,451.24807530586475,2558971
2025-06-11,450.8256418357683,451.6206774204112,450.37481619393253,451.1695079124988,451.1695079124988,2642059
2025-06-12,452.1004384521049,452.552538890557,451.4349944304417,451.8868813117534,451.8868813117534,2543077
2025-06-13,451.29631450673236,452.3834008028739,450.8450181922256,451.9314693335404,451.9314693335404,2381378
2025-06-16,452.824450008844,453.2772744588528,451.38061526185373,451.8324477095633,451.8324477095633,2081478
2025-06-17,454.07015094952175,454.5242211004712,452.65351104789124,453.1066176655568,453.1066176655568,1520263
2025-06-18,451.75539312997796,452.7064710967685,451.303637736848,452.25421687988865,452.25421687988865,2457649
2025-06-19,451.53337120251365,453.63137033386107,451.08183783131113,453.1781921417194,453.1781921417194,1735979
2025-06-20,453.65400708190253,454.1076610889844,452.8707594562697,453.3240835398095,453.3240835398095,2675657
2025-06-23,452.99770721147183,453.83327829553224,452.54470950426037,453.37989839713515,453.37989839713515,2959598
2025-06-24,450.42725519697825,452.5481610232576,449.97682794178127,452.09606495829934,452.09606495829934,1779245
2025-06-25,453.5476862066171,454.4365803514288,453.09413852041047,453.9825977536752,453.9825977536752,1285261
2025-06-26,454.1710173736737,454.7432151287024,453.71684635630004,454.28892620249997,454.28892620249997,1109069
2025-06-27,453.05303575301554,454.7434954694103,452.5999827172625,454.2892062631472,454.2892062631472,1090675
2025-06-30,453.8861565340318,454.3400426905658,453.29663998747895,453.75039037785683,453.75039037785683,1866873
2025-07-01,455.00613650793025,455.46114264443816,454.431839635287,454.88672636164864,454.88672636164864,1401558
2025-07-02,454.3592183094002,454.8135775277096,453.6903833809865,454.1445279088954,454.1445279088954,1783074
2025-07-03,455.3198183608747,455.7751381792355,454.4431231570865,454.8980211782648,454.8980211782648,1119792
2025-07-04,455.2069926022793,455.7390579356268,454.75178560967703,455.28377416146543,455.28377416146543,1092182
2025-07-07,455.291463363337,456.33814937761787,454.8361718999737,455.8822671105074,455.8822671105074,1530349
2025-07-08,457.2257595732186,457.6829853327918,456.05927434227135,456.51579013240377,456.51579013240377,1779388
2025-07-09,456.7260201383799,457.1827461585182,455.5935831687637,456.0496328015653,456.0496328015653,2581990
2025-07-10,454.88494400597403,457.15394549465236,454.43005906196805,456.697248246406,456.697248246406,1728057
2025-07-11,455.69389842478176,456.42109475559477,455.238204526357,455.96512962596887,455.96512962596887,1798472
2025-07-14,455.5522741457694,457.44727141290946,455.09672187162363,456.99028113177775,456.99028113177775,1669538
2025-07-15,456.79495440012175,457.56403328041574,456.33815944572166,457.1069263540617,457.1069263540617,2633023
2025-07-16,457.7125813848111,458.17029396619586,456.2299181336829,456.6866047384213,456.6866047384213,1205159
2025-07-17,455.9228567012012,456.9350695655761,455.46693384450003,456.47859097460156,456.47859097460156,1411776
2025-07-18,456.61056538873424,458.2066903156744,456.1539548233455,457.74894137430016,457.74894137430016,1195286
2025-07-21,458.0645670107338,459.2453478174096,457.60650244372306,458.7865612561535,458.7865612561535,2834784
2025-07-22,459.2066848515449,459.6658915363964,457.7544534440272,458.2126661101373,458.2126661101373,1470598
2025-07-23,458.80942234215934,459.2682317645014,457.74537132352543,458.2035748984239,458.2035748984239,1010291
2025-07-24,457.4321938381805,459.00905238187306,456.9747616443423,458.55050187999313,458.55050187999313,1608330
2025-07-25,459.69818570339197,460.15788388909533,458.20156696807516,458.6602271952704,458.6602271952704,1543836
2025-07-28,459.55401062579716,460.0135646364229,458.6833876302446,459.14253016040504,459.14253016040504,2357323
2025-07-29,459.93866996561275,460.4560947422552,459.47873129564715,459.9960986436116,459.9960986436116,2984871
2025-07-30,460.25273090937503,460.71298364028434,459.07527193096774,459.5348067377054,459.5348067377054,2704624
2025-07-31,459.064236881625,459.5233011185066,458.24592832129304,458.7046329542473,458.7046329542473,2407925
2025-08-01,459.943406814852,460.40335022166676,459.3922015266993,459.8520535802796,459.8520535802796,1922256
2025-08-04,458.10337742047994,460.0148099718316,457.6452740430595,459.5552547171145,459.5552547171145,2679434
2025-08-05,461.18768918715034,461.64887687633745,459.871912081523,460.3322443258489,460.3322443258489,1653507
2025-08-06,458.8815947221105,461.1848876538413,458.42271312738836,460.72416349035103,460.72416349035103,1822259
2025-08-07,460.64942847526004,461.51155320049315,460.18877904678476,461.0505026977954,461.0505026977954,2713280
2025-08-08,461.5438698337461,462.0054137035798,460.58802921343874,461.0490782917305,461.0490782917305,2119425
2025-08-11,460.5100382561312,461.2722601145118,460.0495282178751,460.811448665846,460.811448665846,2872224
